Beer,Brewery,Location,% Alc (ABV)
Independence Ale,Great Lakes Brewing Co.,Cleveland OH,6
Big Fog ESB,Great Northern Brewery,Whitefish MT,6
Fire Rock Pale Ale,Kona Brewing Co.,Hawaii United States,6
46 'er Pale Ale,Lake Placid Brewing Co,Lake Placid NY,6
Milk Stout,Left Hand Brewing,,6
Legend Bohemian-style Pilsner,Legend Brewing Co.,Richmond VA,6
Legend Brown Ale,Legend Brewing Co.,Richmond VA,6
Breakout Stout,Marin Brewing,,6
India Pale Ale,Marin Brewing,,6
Point Reyes Porter,Marin Brewing,,6
Isolation,Odell's,,6
Summertime Wheat,Rahr & Sons Brewing Co.,Fort Worth TX,6
Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,,6
Samuel Adams Latitude,Samuel Adams Brewery,,6
Brown Ale,Saranac - Matt Brewing Co,,6
Funkin’ Punkin,Short's Brewing Company,Elk Rapids MI,6
Spring Run IPA,Widmer Brothers Brewing Co.,,6
Sam Adams IPA,Boston Beer Co.,Boston MA,5.9
Busch Ice,Anheuser Busch,St Louis MO,5.9
Natural Ice,Anheuser Busch,St Louis MO,5.9
Crazy Stallion,City Brewery,,5.9
Coopers Pale Ale,Coopers,,5.9
Batch 19 Bock,Coors Brewing Company,Golden CO,5.9
Keystone Ice,Coors Brewing Company,Golden CO,5.9
Fuller's ESB,Fuller Smith & Tuner,,5.9
Fuller's ESB,Fuller's,,5.9
Goose Island India Pale Ale,Goose Island Beer Company,Chicago IL,5.9
SnowGhost Winter Lager,Great Northern Brewery,Whitefish MT,5.9
Harpoon IPA,Harpoon Brewery,Boston MA,5.9
Schlitz O.M.L. (Malt Liquor),JOS. Schlitz Brewing Co. (Pabst) ,Illinois,5.9
Milwaukee Special Reserve Ice,Melanie Brewing Company,,5.9
Mickey's Ice,Mickey's,,5.9
Schlitz Red Bull XL Malt Liquor,Miller Brewing Co. (MillerCoors),Woodridge IL,5.9
St. Ides Premium Malt Liquor,Miller Brewing Co. (MillerCoors),Woodridge IL,5.9
Keystone Ice,MillerCoors,Golden CO,5.9
Milwaukee's Best Ice,MillerCoors,Milwaukee WI,5.9
Olde English 800 Malt Liquor,MillerCoors,,5.9
Olde English 800,Olde English 800,,5.9
Spaten Oktoberfest Ur-Märzen,Spaten-Franziskaner-Bräu (InBev),Munich Germany,5.9
Stone Smoked Porter,Stone Brewing Co.,,5.9
